"",".model_id",".model_desc",".type","mae","mape","mase","smape","rmse","rsq","cod_regsaud"
"268",1,"PROPHET","Test",93.9291987520356,3.7088773812922,0.723985111024403,3.66380348911412,107.003810559151,0.719369545158877,"32002"
"269",1,"PROPHET","Test",34.7469695335729,4.99913033990773,0.65079828930959,4.86653131117097,43.4335835713502,0.583054932199142,"32004"
"270",1,"PROPHET","Test",40.0989086446792,3.79363967600638,0.753492564401651,3.72788766671934,49.9908949584384,0.715437102760066,"32005"
"271",1,"PROPHET","Test",19.2097253517305,7.52644655088645,0.73760214205309,7.44033147205381,23.764822640255,0.335472024786701,"33001"
"272",1,"PROPHET","Test",48.5476542795093,5.79475050531063,0.854319853426713,5.57099078435949,58.0244018456504,0.666219203391485,"33002"
"273",1,"PROPHET","Test",26.442650419875,9.2884998666031,0.721448350720197,8.70744279334048,31.7606414933296,0.566676636608969,"33003"
"274",1,"PROPHET","Test",47.9737596696683,6.4331143622206,0.833381021451942,6.14243291385293,57.2237399464633,0.783712533257007,"33004"
"275",1,"PROPHET","Test",352.270806589263,4.02172570423874,0.731974753957273,3.98541828938796,413.553481357276,0.813907360995453,"33005"
"276",1,"PROPHET","Test",73.3215608332044,4.44890497199624,0.810377654571697,4.32800200496786,88.2077943151101,0.761787009197462,"33006"
"277",1,"PROPHET","Test",24.2197759567641,7.8283579124421,0.928424745009292,7.49666641704217,27.2732910764837,0.673810460203157,"33007"
"278",2,"XGBOOST","Test",76.0604248046875,8.46089062405706,1.24423170021893,7.93217004922667,100.154651040586,NA,"33008"
"279",1,"PROPHET","Test",49.2144480543746,6.09829418298719,0.821431281023668,5.84878926159954,58.8662316195564,0.636005542205012,"33009"
"280",1,"PROPHET","Test",106.361558135124,3.40662770458891,0.496613040419781,3.34215511923462,138.747410592864,0.737044533014795,"35011"
"281",1,"PROPHET","Test",30.2769459395771,4.77494781273406,0.874836377651098,4.63997091897543,36.3246961580516,0.712092418921139,"35012"
"282",1,"PROPHET","Test",41.5773279467004,3.44687867820199,0.526585100646537,3.42385920010327,52.1689679278293,0.73527883545526,"35013"
"283",1,"PROPHET","Test",70.4613976983237,3.28731209314902,0.49258727874208,3.31622090392616,96.6176319029671,0.700663988569737,"35014"
"284",1,"PROPHET","Test",75.4945368831292,3.41242492695341,0.556530239843581,3.41623794972041,93.8804961746221,0.766997131495428,"35015"
"285",1,"PROPHET","Test",375.009521225389,3.50447900639956,0.623299536651536,3.54305159263162,470.501776391623,0.748737263715733,"35016"
"286",1,"PROPHET","Test",18.1707346129064,7.61632578964871,0.854656229236907,7.24790605187872,20.8714226700275,0.792134354939731,"35021"
"287",2,"XGBOOST","Test",13.6809768676758,10.0398937385776,0.986402720866906,9.50565116524705,16.7791220359717,NA,"35022"
"288",1,"PROPHET","Test",16.9005859060475,7.57516957474196,0.607364805998582,7.48279933306603,19.3256381798006,0.554063311257764,"35023"
"289",1,"PROPHET","Test",20.5374396715709,7.64958098008236,0.64442170865775,7.44604986907945,24.7333161989567,0.353321166165126,"35031"
"290",1,"PROPHET","Test",13.4214339794435,12.1993300695254,1.07185063030278,11.0133691879017,17.0065538230002,0.642783043239949,"35032"
"291",1,"PROPHET","Test",9.50588675677668,7.77454835507494,0.73122205821359,7.50239737615184,10.8863222938665,0.763783668558757,"35033"
"292",2,"XGBOOST","Test",24.6778564453125,7.4449636817682,0.842122697688706,7.25218264052324,32.1259339238729,NA,"35034"
"293",1,"PROPHET","Test",83.5413624663978,5.0758338983895,0.782668568931629,5.02965154934652,103.276544414339,0.749565496956124,"35041"
"294",1,"PROPHET","Test",17.9452760514519,7.13068138708765,0.58050822669957,6.86740572259483,21.3734236069966,0.56266063916325,"35051"
"295",2,"XGBOOST","Test",13.7828954060872,10.9494590782411,0.778885981179377,11.1920880358653,16.9053245844216,NA,"35052"
"296",1,"PROPHET","Test",23.2559461027512,8.83350023481666,0.6491344179166,8.14929853216947,32.5640750112888,0.326229835137274,"35061"
"297",1,"PROPHET","Test",23.3809353499025,3.81588834900548,0.541007558398147,3.88063480179993,31.6469222018746,0.70121614868744,"35062"
"298",1,"PROPHET","Test",19.4737228767285,7.07555302057539,0.71320959580375,6.86780991470968,23.6293113533781,0.426258497682788,"35063"
"299",1,"PROPHET","Test",14.7493495635065,5.0524514253432,0.625894907676474,5.0267629267176,17.7775769283721,0.682377215706366,"35064"
"300",1,"PROPHET","Test",11.4960102394561,8.42672310597193,0.770869491275479,8.15284943665476,13.976551086499,0.495921369705763,"35065"
"301",1,"PROPHET","Test",22.4303058494099,4.43319615261537,0.669127152446729,4.48395570786599,26.5429128850612,0.630376363683977,"35071"
"302",1,"PROPHET","Test",86.6000777073506,2.91949916560381,0.467888604009646,2.95304237606739,99.6412873856397,0.835319602839381,"35072"
"303",1,"PROPHET","Test",36.3150725307978,4.39429648484982,0.579227925248508,4.31716680523546,42.8435018380904,0.80816976686946,"35073"
"304",2,"XGBOOST","Test",12.3587125142415,11.8867698837108,0.770326254275218,11.1640545046665,14.8042572596605,NA,"35074"
"305",1,"PROPHET","Test",19.6492187793006,4.69998088657607,0.529194416772732,4.71366833136214,26.2027110323737,0.539970657294279,"35081"
"306",2,"XGBOOST","Test",14.6607449849447,10.5028979001855,0.706912231978464,10.8266649858856,17.9936621034722,NA,"35082"
"307",1,"PROPHET","Test",9.80794412190049,9.62415466773721,0.746962631800369,9.53004441724731,13.6815302754318,0.0965736886920441,"35083"
"308",1,"PROPHET","Test",8.97005081329689,9.47471079886531,0.65914111407613,9.15573324639107,11.4049344013357,0.482689989667612,"35091"
"309",1,"PROPHET","Test",14.4711000865202,7.75760140090672,0.788709246421717,7.21932547038118,21.4557812274624,0.373123190792431,"35092"
