"","uf_sigla","cod_regsaud","regiao_saude","total","total_materno","perc_fc"
"79","ES",32005,"Central Norte",675630,165568,0.245057205867117
"80","GO",52001,"Central",595171,183839,0.308884337442517
"81","GO",52002,"Centro Sul",309218,80780,0.261239643229049
"82","GO",52003,"Entorno Norte",149125,47236,0.316754400670578
"83","GO",52004,"Entorno Sul",325965,117093,0.359219548110993
"84","GO",52005,"Estrada de Ferro",121690,30500,0.250636864163037
"85","GO",52006,"Nordeste I",30577,6366,0.20819570265232
"86","GO",52007,"Nordeste II",50393,19599,0.388923064711369
"87","GO",52008,"Norte",88426,20387,0.230554361839278
"88","GO",52009,"Oeste I",63834,11836,0.185418429050349
"89","GO",52010,"Oeste II",104898,22042,0.21012793380236
"90","GO",52011,"Pirineus",187826,37550,0.199919074036608
"91","GO",52012,"Rio Vermelho",99819,23480,0.235225758623108
"92","GO",52013,"São Patrício I",81895,16331,0.199413883631479
"93","GO",52014,"Serra da Mesa",80019,21361,0.266949099588848
"94","GO",52015,"Sudoeste I",213044,49828,0.233885957830307
"95","GO",52016,"Sudoeste II",146151,41440,0.283542363719715
"96","GO",52017,"Sul",103664,21836,0.210642074394197
"97","GO",52018,"São Patrício II",132504,19588,0.147829499486808
"98","MA",21001,"Açailândia",149932,65284,0.435424058906704
"99","MA",21002,"Bacabal",170618,45145,0.264596935844987
"100","MA",21003,"Balsas",192802,64198,0.332973724338959
"101","MA",21004,"Barra do Corda",156163,42080,0.269462036461902
"102","MA",21005,"Caxias",284182,103791,0.365227213546249
"103","MA",21006,"Chapadinha",307757,124150,0.403402684585566
"104","MA",21007,"Codó",215141,61033,0.283688371811974
"105","MA",21008,"Imperatriz",324153,138866,0.428396467100412
"106","MA",21009,"Itapecuru Mirim",311319,110284,0.354247572425711
"107","MA",21010,"Pedreiras",283007,80849,0.285678446116174
"108","MA",21011,"Pinheiro",241404,88089,0.364902818511707
"109","MA",21012,"Presidente Dutra",215977,63498,0.294003528153461
"110","MA",21013,"Rosário",224135,70081,0.312673165726013
"111","MA",21014,"Santa Inês",272640,99242,0.364003814553991
"112","MA",21015,"São João dos Patos",217217,71368,0.328556236390338
"113","MA",21016,"São Luís",634020,211758,0.333992618529384
"114","MA",21017,"Timon",200585,55182,0.275105316947927
"115","MA",21018,"Viana",170213,60500,0.355437011274109
"116","MA",21019,"Zé Doca",187815,59778,0.318281287437106
"117","MG",31001,"Alfenas / Machado",197586,51943,0.262888058870568
"118","MG",31002,"Guaxupé",73776,16072,0.217848622858382
"119","MG",31003,"Itajubá",161972,68912,0.425456251697824
"120","MG",31004,"Lavras",105209,14568,0.138467241395698
"121","MG",31006,"Poços de Caldas",90990,21521,0.236520496757885
"122","MG",31007,"Pouso Alegre",355815,126650,0.355943397552099
"123","MG",31008,"São Lourenço",199207,46055,0.231191674991341
"124","MG",31009,"São Sebastião do Paraíso",165728,29011,0.175051892257193
"125","MG",31010,"Três Corações",47672,6735,0.141277898976338
"126","MG",31011,"Três Pontas",87067,17831,0.204796306292855
"127","MG",31012,"Varginha",104114,25669,0.246547054190599
"128","MG",31013,"Barbacena",143655,34686,0.241453482301347
"129","MG",31015,"São João Del Rei",101164,18225,0.180153018860464
"130","MG",31016,"Belo Horizonte/ Nova Lima/ Caeté",2069781,371417,0.179447487439492
"131","MG",31017,"Betim",343845,94056,0.273541857523012
"132","MG",31018,"Contagem",605703,105444,0.174085319042501
"133","MG",31019,"Curvelo",143644,36027,0.250807552003564
"134","MG",31020,"Guanhães",63847,25193,0.394583927200965
"135","MG",31021,"Itabira",173415,56600,0.326384684139204
"136","MG",31022,"Ouro Preto",135895,43672,0.321365760329666
"137","MG",31023,"João Monlevade",65516,16442,0.250961597167104
"138","MG",31024,"Sete Lagoas",272529,47310,0.173596204440628
"139","MG",31025,"Vespasiano",147107,40052,0.272264406180535
"140","MG",31026,"Diamantina",98969,33596,0.339459830856127
