"","cod_regsaude",".index",".value",".model_id",".model_desc",".key","tipo",".conf_lo",".conf_hi","arquivo_origem"
"139",16001,"2009-11-01",817,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"140",16001,"2021-04-01",765,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"141",16001,"2020-10-01",885,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"142",16001,"2011-09-01",879,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"143",16001,"2021-03-01",839,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"144",16001,"2022-10-01",756,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"145",16001,"2001-10-01",882,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"146",16001,"2022-02-01",723,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"147",16001,"2015-07-01",856,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"148",16001,"2006-08-01",864,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"149",16001,"2020-02-01",804,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"150",16001,"2014-05-01",888,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"151",16001,"2003-10-01",825,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"152",16001,"2020-03-01",796,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"153",16001,"2012-09-01",879,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"154",16001,"2008-08-01",911,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"155",16001,"2008-11-01",887,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"156",16001,"2016-10-01",887,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"157",16001,"2002-04-01",695,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"158",16001,"2002-05-01",740,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"159",16001,"2022-12-01",779,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
"160",16001,"2004-01-01",754,0,"Dados Históricos","actual","histórico",NA,NA,"melhor_previsao_16001.csv"
